,age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
101,1954,Person,4,wheels,spider,wheels,1,0,0,0,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1
102,4140,AI,1,spider,wheels,spider,1,0,0,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
103,3852,AI,4,wheels,spider,wheels,1,1,1,1,6,coding class at school,About once a day,Several times a day,About once a day,1,1,1,1,1
104,1199,AI,1,spider,wheels,wheels,1,0,0,0,0,no experience with coding,About once a day,NA,NA,1,1,1,1,0
105,1357,AI,2,wheels,spider,spider,1,0,0,0,0,no experience with coding,About once a day,Never,Never,1,1,1,1,0
106,1372,AI,4,wheels,spider,wheels,1,0,0,0,NA,NA,Several times a day,NA,About once a day,1,1,1,1,1
107,3713,AI,1,spider,wheels,spider,1,1,1,1,5,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
108,3866,Person,1,spider,wheels,spider,1,1,1,1,5,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
109,4608,Person,1,spider,wheels,spider,1,0,1,1,NA,NA,About once a day,Less than once a week,NA,1,1,1,1,1
110,4608,AI,3,spider,wheels,spider,1,0,0,1,1,no experience with coding,About once a week,Several times a day,NA,1,1,1,1,1
111,2895,AI,1,spider,wheels,spider,1,1,1,1,1,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,NA,NA,1,1,1,1,1
112,3871,AI,2,wheels,spider,wheels,1,1,1,1,1,NA,About once a day,NA,About once a day,1,1,1,1,1
113,3622,Person,1,spider,wheels,spider,1,1,1,1,4,"coding class at school,after school programs or camps related to coding",Several times a day,Several times a day,Several times a day,1,1,1,1,1
114,4964,Person,1,spider,wheels,spider,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1
115,1134,Person,4,wheels,spider,wheels,1,0,0,1,2,no experience with coding,Less than once a week,Several times a day,Several times a day,1,1,1,1,1
116,2499,Person,3,spider,wheels,spider,1,1,1,1,5,coding class at school,About once a week,Several times a day,Several times a day,1,1,1,1,1
117,1232,AI,4,wheels,spider,spider,1,1,1,1,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,0
118,4591,Person,2,wheels,spider,wheels,1,1,1,1,3,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,NA,1,1,1,1,1
